model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,train,99.9116,63.8452,0.7079,False,../models/dt_10_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,val,110.0833,68.0249,0.6467,False,../models/dt_10_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,test,112.3928,70.2266,0.637,False,../models/dt_10_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,train,100.7146,64.2592,0.7031,False,../models/dt_10_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,val,110.5057,68.3338,0.644,False,../models/dt_10_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,test,112.2651,70.4308,0.6378,False,../models/dt_10_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,train,101.2052,64.5011,0.7002,False,../models/dt_10_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,val,111.1187,68.4623,0.64,False,../models/dt_10_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,test,111.1017,70.0891,0.6453,False,../models/dt_10_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,train,103.9568,65.9088,0.6837,False,../models/dt_10_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,val,111.5915,69.0106,0.637,False,../models/dt_10_depth_20_minsplit_20_minleaf_hot.pkl
