model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,test,103.3301,64.2257,0.6932,False,../models/rf_100_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,train,71.5272,44.96,0.8503,False,../models/rf_100_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,val,96.0588,58.6345,0.731,False,../models/rf_100_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,test,96.9882,60.0941,0.7297,False,../models/rf_100_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,train,78.1118,47.5817,0.8214,False,../models/rf_100_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,val,97.9935,59.5067,0.72,False,../models/rf_100_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,test,98.5434,60.7646,0.721,False,../models/rf_100_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,train,83.2254,50.6203,0.7973,False,../models/rf_100_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,val,99.7136,60.5299,0.7101,False,../models/rf_100_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,test,99.9608,61.8248,0.7129,False,../models/rf_100_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,train,93.3478,57.4102,0.745,False,../models/rf_100_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
